secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon,hh,lc,hc,ll,accstd,upbound,lowbound,signal,mkt_val1,mkt_val2,max_drawdown,pos,trans,risk_ratio
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-17,P,L4,8170,8158,8190,8428,8026,8220,8086,1069353,87910487380,379291,-84,50,-0.01028152,1,0,8428.0,6716.0,8376.0,6630.0,463.81234932310207,8507.2,7808.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-18,P,L4,8220,8086,8100,8324,8050,8188,8268,772535,63270021620,382806,48,-32,0.00583942,1,0,8428.0,6716.0,8376.0,6630.0,484.81726930399714,8435.2,7736.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-19,P,L4,8188,8268,8368,8372,8076,8202,8142,903637,74129824460,383130,-46,14,-0.00561798,1,0,8428.0,6716.0,8376.0,6630.0,499.59284961317775,8617.2,7918.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-20,P,L3,8202,8142,8000,8116,7822,7950,8102,900681,71605185700,378737,-100,-252,-0.01219215,1,0,8428.0,6716.0,8376.0,6630.0,515.910839046975,8491.2,7792.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-21,P,L3,7950,8102,7902,7934,7640,7804,7650,1155448,90176523000,346833,-300,-146,-0.03773585,1,0,8428.0,6716.0,8376.0,6630.0,505.78163728568126,8451.2,7752.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-24,P,L3,7804,7650,7620,7694,7424,7590,7568,939970,71350972060,343496,-236,-214,-0.0302409,1,0,8428.0,6774.0,8376.0,6630.0,480.88551652134396,7999.2,7300.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-25,P,L3,7590,7568,7560,7696,7556,7622,7626,745130,56800059840,345759,36,32,0.00474308,1,0,8428.0,6822.0,8376.0,6754.0,443.32614838982107,7892.4,7243.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-26,P,L3,7622,7626,7626,7756,7484,7648,7710,867575,66361642840,345612,88,26,0.01154553,1,0,8428.0,6916.0,8376.0,6772.0,408.25916354122955,7946.8,7305.2,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-27,P,L3,7648,7710,7660,7696,7450,7572,7464,916858,69434246620,346223,-184,-76,-0.02405858,1,0,8428.0,7080.0,8376.0,6898.0,372.9644404580062,8005.6,7414.4,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-28,P,L3,7572,7464,7500,7748,7490,7638,7634,836979,63935149660,353271,62,66,0.00818806,1,0,8428.0,7080.0,8376.0,7044.0,347.4898913858998,7733.6,7194.4,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-31,P,L3,7638,7634,7590,7754,7478,7586,7546,1007232,76408850660,364103,-92,-52,-0.01204504,1,0,8428.0,7226.0,8376.0,7054.0,323.02634329345074,7898.4,7369.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-01,P,L3,7586,7546,7546,7632,7492,7566,7590,697525,52779449840,361674,4,-20,0.00052729,1,0,8428.0,7374.0,8376.0,7254.0,297.85274627160703,7770.4,7321.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-02,P,L3,7566,7590,7604,7814,7574,7680,7808,905813,69569581580,380633,242,114,0.0319852,1,0,8428.0,7374.0,8376.0,7260.0,287.4188259986833,7813.2,7366.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-03,P,L3,7680,7808,7860,8176,7860,8028,8134,924391,74219350680,402721,454,348,0.05911458,1,0,8428.0,7374.0,8376.0,7260.0,282.1766931442886,8031.2,7584.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-04,P,L3,8028,8134,8100,8128,7920,8006,7942,824400,66002855940,392987,-86,-22,-0.01071251,1,0,8428.0,7374.0,8376.0,7260.0,282.925899513255,8357.2,7910.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-07,P,L3,8006,7942,8026,8180,7910,8020,7964,819156,65711072740,386765,-42,14,-0.00524607,1,0,8428.0,7406.0,8376.0,7260.0,279.23729087531353,8165.2,7718.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-08,P,L3,8020,7964,7964,8006,7642,7822,7656,924718,72333212800,387904,-364,-198,-0.04538653,1,0,8428.0,7406.0,8376.0,7320.0,267.73908079437194,8175.2,7752.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-09,P,L3,7822,7656,7692,7842,7642,7754,7664,821400,63698019100,376234,-158,-68,-0.02019944,1,0,8428.0,7410.0,8376.0,7344.0,255.2465474790989,7862.4,7449.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-10,P,L3,7754,7664,7580,7746,7540,7620,7690,882205,67226085420,368241,-64,-134,-0.0082538,1,0,8428.0,7410.0,8376.0,7344.0,246.9537234755966,7870.4,7457.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-11,P,L3,7620,7690,7608,7672,7410,7530,7432,972714,73246098300,394309,-188,-90,-0.02467192,1,0,8428.0,7464.0,8376.0,7424.0,238.57329788041736,7882.8,7497.2,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-15,P,L3,7530,7432,6958,7100,6928,6990,7052,797295,55746714640,409158,-478,-540,-0.06347942,1,0,8428.0,7432.0,8376.0,7410.0,248.15222375357843,7631.2,7232.8,5,97112.5,98972.5,0.028875,-3,3,0.23752863946453856
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-16,P,L2,6990,7052,7100,7160,6858,7014,6882,921041,64607361600,422461,-108,24,-0.01545064,1,0,8428.0,7052.0,8376.0,6928.0,300.9886069911309,7341.6,6762.4,-1,96385.0,98965.4635192,0.03615,-3,0,0.2401431758053639
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-17,P,L2,7014,6882,6886,6984,6728,6890,6918,996902,68693065360,415070,-96,-124,-0.01368691,1,0,8428.0,6882.0,8376.0,6858.0,338.4602692283893,7191.2,6572.8,-1,100097.5,98958.3741265,0.0,-3,0,0.22714853018307152
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-18,P,L2,6890,6918,6740,6888,6606,6742,6694,1193964,80500657680,417284,-196,-148,-0.02844702,1,0,8428.0,6882.0,8376.0,6728.0,379.8326190067651,7247.6,6588.4,-1,104530.0,98951.7275371,0.0,-3,0,0.2128441595714149
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-21,P,L2,6742,6694,6816,6942,6734,6804,6816,1167513,79458935020,411464,74,62,0.01097597,1,0,8428.0,6694.0,8376.0,6606.0,418.2540118893523,7048.0,6340.0,-1,100802.5,96664.2275371,0.035659619248062754,0,-3,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-22,P,L2,6804,6816,6802,7036,6784,6884,6922,959498,66063899580,408779,118,80,0.01734274,1,0,8428.0,6694.0,8268.0,6606.0,435.59789502917266,7162.8,6469.2,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-23,P,L2,6884,6922,6902,7116,6872,6978,6984,928508,64804901340,402286,100,94,0.01452644,1,0,8428.0,6694.0,8268.0,6606.0,445.970823467876,7268.8,6575.2,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-24,P,L2,6978,6984,6968,7038,6842,6936,6860,985548,68369791040,409145,-118,-42,-0.01691029,1,0,8372.0,6694.0,8268.0,6606.0,442.4219774760814,7319.6,6648.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-25,P,L2,6936,6860,6840,7056,6810,6934,7018,970885,67322090140,390904,82,-2,0.01182238,1,0,8372.0,6694.0,8142.0,6606.0,437.5627322057773,7195.6,6524.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-28,P,L2,6934,7018,7040,7080,6782,6932,7068,1137642,78875816820,395741,134,-2,0.01932506,1,0,8180.0,6694.0,8134.0,6606.0,426.1523887784024,7323.6,6712.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-29,P,L2,6932,7068,7068,7124,6932,7042,7034,940251,66220244460,378310,102,110,0.01471437,1,0,8180.0,6694.0,8134.0,6606.0,424.8014848590594,7373.6,6762.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-06-30,P,L2,7042,7034,7144,7232,7108,7176,7230,880665,63207217560,383139,188,134,0.02669696,1,0,8180.0,6694.0,8134.0,6606.0,422.6185040908647,7339.6,6728.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-01,P,L2,7176,7230,7190,7492,7176,7344,7480,1016385,74660462340,406977,304,168,0.04236343,1,0,8180.0,6694.0,8134.0,6606.0,422.11031004484374,7535.6,6924.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-02,P,L2,7344,7480,7568,7608,7444,7526,7608,922988,69479165880,415784,264,182,0.03594771,1,0,8180.0,6694.0,8134.0,6606.0,418.7706844489552,7785.6,7174.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-05,P,L2,7526,7608,7636,7700,7526,7606,7612,908934,69140122480,412021,86,80,0.01142705,1,0,8180.0,6694.0,8134.0,6606.0,415.9884391884729,7913.6,7302.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-06,P,L2,7606,7612,7612,7782,7610,7710,7746,828171,63856161620,421973,140,104,0.01840652,1,0,8180.0,6694.0,8134.0,6606.0,416.7777345300493,7917.6,7306.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-07,P,L2,7710,7746,7700,7704,7490,7596,7598,1164231,88450727440,407022,-112,-114,-0.01452659,1,0,8180.0,6694.0,8134.0,6606.0,419.01487397869886,8051.6,7440.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-08,P,L2,7596,7598,7550,7642,7450,7552,7610,952690,71954252320,405692,14,-44,0.00184308,1,0,8180.0,6694.0,8134.0,6606.0,419.2439568850285,7903.6,7292.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-09,P,L2,7552,7610,7550,7820,7528,7652,7814,1024499,78413069400,440939,262,100,0.0346928,1,0,8180.0,6694.0,8134.0,6606.0,418.9658770757428,7915.6,7304.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-12,P,L2,7652,7814,7814,7942,7758,7834,7770,826437,64749529580,416018,118,182,0.01542081,1,0,8180.0,6694.0,8134.0,6606.0,418.1204831882058,8119.6,7508.4,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-13,P,L2,7834,7770,7746,7898,7744,7810,7802,727366,56812794160,414074,-32,-24,-0.00408476,1,0,8180.0,6694.0,7964.0,6606.0,407.11491479206956,8067.2,7472.8,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-14,P,L2,7810,7802,7856,7916,7712,7820,7890,919460,71915421580,416654,80,10,0.01024328,1,0,8180.0,6694.0,7964.0,6606.0,395.9921444442285,8099.2,7504.8,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-07-15,P,L1,7820,7890,7888,8022,7772,7910,7970,892734,70630406000,428584,150,90,0.01918159,1,0,8006.0,6694.0,7890.0,6606.0,383.902142979973,8152.4,7627.6,-1,100802.5,96664.2275371,0.035659619248062754,0,0,0.0
