idx,price,time,longshort,buysell,value
4,956.0,09:00:02,1,0,95600.0
40,959.5,09:00:21,0,0,-95950.0
231,955.0,09:01:57,1,1,-95500.0
236,955.0,09:02:00,1,0,95500.0
553,954.0,09:04:49,1,1,-95400.0
554,953.5,09:04:49,1,0,95350.0
942,952.0,09:08:16,1,1,-95200.0
945,951.5,09:08:17,1,0,95150.0
974,950.0,09:08:32,1,1,-95000.0
975,949.5,09:08:32,1,0,94950.0
2518,960.5,09:23:04,0,1,96050.0
2519,961.0,09:23:05,0,0,-96100.0
2573,962.0,09:23:32,0,1,96200.0
2576,962.5,09:23:33,0,0,-96250.0
2800,963.5,09:25:26,0,1,96350.0
2801,964.0,09:25:27,0,0,-96400.0
3701,965.0,09:33:40,0,1,96500.0
3703,965.5,09:33:41,0,0,-96550.0
3836,966.5,09:34:48,0,1,96650.0
3837,967.0,09:34:48,0,0,-96700.0
7670,968.5,10:10:10,0,1,96850.0
7671,969.0,10:10:10,0,0,-96900.0
8158,971.0,10:14:17,0,1,97100.0
8161,971.5,10:14:18,0,0,-97150.0
13120,972.5,11:19:46,0,1,97250.0
13125,972.5,11:19:49,0,0,-97250.0
13213,973.5,11:20:35,0,1,97350.0
13216,973.5,11:20:36,0,0,-97350.0
14174,974.5,11:29:47,0,1,97450.0
14176,975.0,11:29:48,0,0,-97500.0
14424,976.0,13:31:58,0,1,97600.0
14425,976.5,13:31:58,0,0,-97650.0
14531,977.5,13:32:52,0,1,97750.0
14534,978.0,13:32:53,0,0,-97800.0
15018,979.0,13:37:09,0,1,97900.0
15025,979.0,13:37:12,0,0,-97900.0
15356,980.0,13:40:00,0,1,98000.0
15357,981.5,13:40:01,0,0,-98150.0
15596,983.0,13:42:03,0,1,98300.0
15605,983.0,13:42:07,0,0,-98300.0
18868,984.0,14:12:16,0,1,98400.0
18869,984.5,14:12:17,0,0,-98450.0
20708,985.5,14:30:12,0,1,98550.0
20710,986.5,14:30:13,0,0,-98650.0
24025,988.0,21:00:40,0,1,98800.0
24030,988.0,21:00:42,0,0,-98800.0
24161,991.5,21:01:48,0,1,99150.0
24162,992.0,21:01:48,0,0,-99200.0
24220,995.5,21:02:17,0,1,99550.0
24221,996.0,21:02:18,0,0,-99600.0
