idx,price,time,longshort,buysell,value
3,3601.0,09:00:01,1,0,36010.0
5,3605.0,09:00:02,0,0,-36050.0
15,3595.0,09:00:07,1,1,-35950.0
17,3597.0,09:00:08,1,0,35970.0
31,3591.0,09:00:15,1,1,-35910.0
32,3590.0,09:00:16,1,0,35900.0
164,3580.0,09:01:22,1,1,-35800.0
165,3579.0,09:01:22,1,0,35790.0
182,3570.0,09:01:31,1,1,-35700.0
183,3568.0,09:01:31,1,0,35680.0
1024,3562.0,09:08:32,1,1,-35620.0
1027,3562.0,09:08:33,1,0,35620.0
1149,3556.0,09:09:34,1,1,-35560.0
1151,3555.0,09:09:35,1,0,35550.0
9768,3549.0,10:36:51,1,1,-35490.0
9771,3548.0,10:36:52,1,0,35480.0
10001,3542.0,10:38:47,1,1,-35420.0
10002,3541.0,10:38:48,1,0,35410.0
11796,3535.0,10:53:54,1,1,-35350.0
11797,3534.0,10:53:55,1,0,35340.0
15503,3528.0,11:25:58,1,1,-35280.0
15504,3527.0,11:25:59,1,0,35270.0
16038,3521.0,13:30:27,1,1,-35210.0
16039,3520.0,13:30:28,1,0,35200.0
20815,3514.0,14:11:35,1,1,-35140.0
20817,3513.0,14:11:36,1,0,35130.0
