idx,instrument_id,direction,price,open_price,fee,timestamp,return
9,m2109,00,3598.0,3598.0,1.51,09:00:04,0.0
23,m2109,10,3600.0,3600.0,1.51,09:00:11,0.0
24,m2109,11,3594.0,3600.0,0.0,09:00:12,58.49
25,m2109,10,3592.0,3592.0,1.51,09:00:12,0.0
144,m2109,11,3586.0,3592.0,0.0,09:01:12,58.49
166,m2109,01,3577.0,3598.0,0.0,09:01:23,-211.51
168,m2109,00,3574.0,3574.0,1.51,09:01:24,0.0
169,m2109,10,3576.0,3576.0,1.51,09:01:24,0.0
181,m2109,11,3569.0,3576.0,0.0,09:01:30,68.49
184,m2109,10,3570.0,3570.0,1.51,09:01:32,0.0
286,m2109,01,3580.0,3574.0,0.0,09:02:23,58.49
328,m2109,00,3580.0,3580.0,1.51,09:02:44,0.0
507,m2109,11,3564.0,3570.0,0.0,09:04:13,58.49
534,m2109,10,3568.0,3568.0,1.51,09:04:27,0.0
1011,m2109,11,3562.0,3568.0,0.0,09:08:25,58.49
1059,m2109,01,3559.0,3580.0,0.0,09:08:49,-211.51
1189,m2109,10,3558.0,3558.0,1.51,09:09:54,0.0
1190,m2109,00,3556.0,3556.0,1.51,09:09:55,0.0
1215,m2109,01,3562.0,3556.0,0.0,09:10:07,58.49
1220,m2109,00,3560.0,3560.0,1.51,09:10:10,0.0
1256,m2109,01,3566.0,3560.0,0.0,09:10:28,58.49
1312,m2109,00,3562.0,3562.0,1.51,09:10:56,0.0
1342,m2109,01,3568.0,3562.0,0.0,09:11:11,58.49
1353,m2109,00,3569.0,3569.0,1.51,09:11:16,0.0
1830,m2109,01,3575.0,3569.0,0.0,09:15:15,58.49
1831,m2109,00,3576.0,3576.0,1.51,09:15:15,0.0
1865,m2109,11,3579.0,3558.0,0.0,09:15:32,-211.51
1891,m2109,10,3579.0,3579.0,1.51,09:15:45,0.0
2039,m2109,01,3582.0,3576.0,0.0,09:16:59,58.49
2108,m2109,00,3581.0,3581.0,1.51,09:17:34,0.0
3541,m2109,11,3573.0,3579.0,0.0,09:29:32,58.49
3608,m2109,10,3573.0,3573.0,1.51,09:30:05,0.0
4299,m2109,11,3567.0,3573.0,0.0,09:35:51,58.49
4531,m2109,10,3569.0,3569.0,1.51,09:37:49,0.0
4794,m2109,11,3563.0,3569.0,0.0,09:40:02,58.49
4937,m2109,10,3564.0,3564.0,1.51,09:41:13,0.0
6856,m2109,01,3560.0,3581.0,0.0,09:57:27,-211.51
6890,m2109,11,3558.0,3564.0,0.0,09:57:44,58.49
6928,m2109,10,3561.0,3561.0,1.51,09:58:03,0.0
7378,m2109,00,3564.0,3564.0,1.51,10:01:50,0.0
7863,m2109,11,3555.0,3561.0,0.0,10:05:56,58.49
8293,m2109,10,3557.0,3557.0,1.51,10:09:33,0.0
8927,m2109,11,3551.0,3557.0,0.0,10:14:50,58.49
8957,m2109,10,3553.0,3553.0,1.51,10:30:05,0.0
9777,m2109,11,3547.0,3553.0,0.0,10:36:55,58.49
9961,m2109,01,3543.0,3564.0,0.0,10:38:27,-211.51
10140,m2109,00,3543.0,3543.0,1.51,10:39:57,0.0
10540,m2109,10,3540.0,3540.0,1.51,10:43:17,0.0
11795,m2109,11,3534.0,3540.0,0.0,10:53:54,58.49
12258,m2109,10,3537.0,3537.0,1.51,10:57:46,0.0
14492,m2109,11,3531.0,3537.0,0.0,11:17:09,58.49
15670,m2109,10,3526.0,3526.0,1.51,11:27:22,0.0
15814,m2109,01,3522.0,3543.0,0.0,11:28:36,-211.51
16037,m2109,11,3520.0,3526.0,0.0,13:30:27,58.49
16416,m2109,10,3531.0,3531.0,1.51,13:33:36,0.0
18865,m2109,00,3535.0,3535.0,1.51,13:54:52,0.0
19291,m2109,11,3525.0,3531.0,0.0,13:58:44,58.49
20147,m2109,10,3521.0,3521.0,1.51,14:05:54,0.0
20803,m2109,11,3515.0,3521.0,0.0,14:11:29,58.49
20804,m2109,01,3514.0,3535.0,0.0,14:11:29,-211.51
21443,m2109,00,3518.0,3518.0,1.51,14:16:50,0.0
21511,m2109,01,3524.0,3518.0,0.0,14:17:24,58.49
21843,m2109,10,3516.0,3516.0,1.51,14:20:14,0.0
22180,m2109,00,3515.0,3515.0,1.51,14:23:05,0.0
22348,m2109,11,3510.0,3516.0,0.0,14:24:31,58.49
23731,m2109,10,3517.0,3517.0,1.51,14:36:23,0.0
23805,m2109,01,3521.0,3515.0,0.0,14:36:59,58.49
24133,m2109,11,3511.0,3517.0,0.0,14:39:47,58.49
24175,m2109,00,3517.0,3517.0,1.51,14:40:08,0.0
24460,m2109,10,3515.0,3515.0,1.51,14:42:36,0.0
25004,m2109,01,3523.0,3517.0,0.0,14:47:23,58.49
25982,m2109,00,3523.0,3523.0,1.51,14:55:34,0.0
26262,m2109,01,3529.0,3523.0,0.0,14:57:56,58.49
26490,m2109,00,3524.0,3524.0,1.51,14:59:50,0.0
26519,m2109,01,3532.0,3524.0,0.0,21:00:01,78.49
26583,m2109,00,3531.0,3531.0,1.51,21:00:33,0.0
26682,m2109,11,3536.0,3515.0,0.0,21:01:23,-211.51
26696,m2109,10,3536.0,3536.0,1.51,21:01:30,0.0
26711,m2109,01,3537.0,3531.0,0.0,21:01:37,58.49
26782,m2109,00,3536.0,3536.0,1.51,21:02:13,0.0
26800,m2109,11,3525.0,3536.0,0.0,21:02:22,108.49
26801,m2109,10,3527.0,3527.0,1.51,21:02:22,0.0
27078,m2109,11,3520.0,3527.0,0.0,21:04:41,68.49
27118,m2109,10,3524.0,3524.0,1.51,21:05:01,0.0
30602,m2109,11,3518.0,3524.0,0.0,21:34:10,58.49
30703,m2109,01,3515.0,3536.0,0.0,21:35:01,-211.51
31253,m2109,00,3524.0,3524.0,1.51,21:39:38,0.0
32213,m2109,10,3522.0,3522.0,1.51,21:47:56,0.0
33054,m2109,01,3530.0,3524.0,0.0,21:55:13,58.49
33119,m2109,00,3531.0,3531.0,1.51,21:55:46,0.0
33902,m2109,01,3537.0,3531.0,0.0,22:02:39,58.49
34062,m2109,00,3529.0,3529.0,1.51,22:04:00,0.0
36840,m2109,01,3535.0,3529.0,0.0,22:29:00,58.49
38152,m2109,00,3532.0,3532.0,1.51,22:40:27,0.0
38888,m2109,01,3538.0,3532.0,0.0,22:47:13,58.49
39166,m2109,00,3534.0,3534.0,1.51,22:49:36,0.0
40292,m2109,11,3535.0,3522.0,0.0,23:00:00,-131.51
40292,m2109,01,3535.0,3534.0,0.0,23:00:00,8.49
