idx,price,time,longshort,buysell,value
2,14000,09:00:01,0,0,-140000
3,13990,09:00:02,1,0,139900
12,13970,09:00:06,1,1,-139700
21,13980,09:00:11,1,0,139800
112,14015,09:00:56,0,1,140150
116,14020,09:00:58,0,0,-140200
760,14035,09:06:23,0,1,140350
761,14040,09:06:23,0,0,-140400
828,14055,09:06:57,0,1,140550
831,14060,09:06:58,0,0,-140600
1268,14075,09:10:40,0,1,140750
1270,14080,09:10:41,0,0,-140800
1474,14090,09:12:23,0,1,140900
1476,14095,09:12:24,0,0,-140950
1525,14105,09:12:48,0,1,141050
1529,14110,09:12:50,0,0,-141100
16843,14120,13:58:28,0,1,141200
16844,14125,13:58:29,0,0,-141250
23543,14135,21:01:13,0,1,141350
23545,14135,21:01:14,0,0,-141350
25213,14145,21:15:31,0,1,141450
25214,14150,21:15:32,0,0,-141500
25231,14160,21:15:40,0,1,141600
25232,14170,21:15:41,0,0,-141700
