idx,instrument_id,direction,price,timestamp,return
9,ru2109,00,13970,09:00:05,0.0
14,ru2109,10,13975,09:00:07,0.0
19,ru2109,01,13985,09:00:10,147.0
29,ru2109,00,13990,09:00:15,0.0
87,ru2109,01,14005,09:00:44,147.0
88,ru2109,00,14000,09:00:44,0.0
111,ru2109,01,14020,09:00:56,197.0
112,ru2109,00,14015,09:00:56,0.0
179,ru2109,01,14030,09:01:30,147.0
184,ru2109,00,14020,09:01:32,0.0
751,ru2109,01,14035,09:06:18,147.0
768,ru2109,00,14040,09:06:27,0.0
813,ru2109,01,14060,09:06:49,197.0
832,ru2109,00,14055,09:06:59,0.0
1241,ru2109,01,14070,09:10:26,147.0
1271,ru2109,00,14075,09:10:41,0.0
1310,ru2109,01,14090,09:11:01,147.0
1320,ru2109,00,14080,09:11:06,0.0
1473,ru2109,01,14095,09:12:22,147.0
1474,ru2109,00,14090,09:12:23,0.0
1484,ru2109,01,14105,09:12:28,147.0
1495,ru2109,00,14100,09:12:33,0.0
1572,ru2109,01,14115,09:13:12,147.0
1589,ru2109,00,14110,09:13:20,0.0
16842,ru2109,01,14125,13:58:28,147.0
16843,ru2109,00,14120,13:58:28,0.0
23524,ru2109,01,14135,21:01:03,147.0
23535,ru2109,00,14130,21:01:09,0.0
25203,ru2109,01,14145,21:15:26,147.0
25231,ru2109,00,14160,21:15:40,0.0
25510,ru2109,01,14175,21:18:00,147.0
25516,ru2109,00,14170,21:18:03,0.0
36275,ru2109,11,13960,23:00:00,147.0
